time,event_type,description
1530,OPTIMIZER_CALL,"Optimizer: 0 pending, 0 assigned"
1560,OPTIMIZER_CALL,"Optimizer: 0 pending, 0 assigned"
1590,OPTIMIZER_CALL,"Optimizer: 0 pending, 0 assigned"
1620,OPTIMIZER_CALL,"Optimizer: 0 pending, 0 assigned"
1650,OPTIMIZER_CALL,"Optimizer: 0 pending, 0 assigned"
1680,OPTIMIZER_CALL,"Optimizer: 0 pending, 0 assigned"
1710,OPTIMIZER_CALL,"Optimizer: 0 pending, 0 assigned"
1740,OPTIMIZER_CALL,"Optimizer: 0 pending, 0 assigned"
1770,OPTIMIZER_CALL,"Optimizer: 0 pending, 0 assigned"
1800,OPTIMIZER_CALL,"Optimizer: 0 pending, 0 assigned"
1830,OPTIMIZER_CALL,"Optimizer: 0 pending, 0 assigned"
1860,OPTIMIZER_CALL,"Optimizer: 0 pending, 0 assigned"
1890,OPTIMIZER_CALL,"Optimizer: 0 pending, 0 assigned"
1920,OPTIMIZER_CALL,"Optimizer: 0 pending, 0 assigned"
1950.0,MINIBUS_IDLE,MINIBUS_3 completed route plan at B
1950,OPTIMIZER_CALL,"Optimizer: 0 pending, 0 assigned"
1980,OPTIMIZER_CALL,"Optimizer: 0 pending, 0 assigned"
2010,OPTIMIZER_CALL,"Optimizer: 0 pending, 0 assigned"
2040,OPTIMIZER_CALL,"Optimizer: 0 pending, 0 assigned"
2070,OPTIMIZER_CALL,"Optimizer: 0 pending, 0 assigned"
2100.0,BUS_ROUTE_COMPLETED,"BUS_1_T2 completed route, served 0 passengers"
2100,OPTIMIZER_CALL,"Optimizer: 0 pending, 0 assigned"
2130,OPTIMIZER_CALL,"Optimizer: 0 pending, 0 assigned"
2160,OPTIMIZER_CALL,"Optimizer: 0 pending, 0 assigned"
2190,OPTIMIZER_CALL,"Optimizer: 0 pending, 0 assigned"
2220,OPTIMIZER_CALL,"Optimizer: 0 pending, 0 assigned"
2250,OPTIMIZER_CALL,"Optimizer: 0 pending, 0 assigned"
2280,OPTIMIZER_CALL,"Optimizer: 0 pending, 0 assigned"
2310,OPTIMIZER_CALL,"Optimizer: 0 pending, 0 assigned"
2340,OPTIMIZER_CALL,"Optimizer: 0 pending, 0 assigned"
2370,OPTIMIZER_CALL,"Optimizer: 0 pending, 0 assigned"
2400.0,BUS_ROUTE_COMPLETED,"BUS_2_T2 completed route, served 0 passengers"
2400,OPTIMIZER_CALL,"Optimizer: 0 pending, 0 assigned"
2430,OPTIMIZER_CALL,"Optimizer: 0 pending, 0 assigned"
2460,OPTIMIZER_CALL,"Optimizer: 0 pending, 0 assigned"
2490,OPTIMIZER_CALL,"Optimizer: 0 pending, 0 assigned"
2520,OPTIMIZER_CALL,"Optimizer: 0 pending, 0 assigned"
2550,OPTIMIZER_CALL,"Optimizer: 0 pending, 0 assigned"
2580,OPTIMIZER_CALL,"Optimizer: 0 pending, 0 assigned"
2610,OPTIMIZER_CALL,"Optimizer: 0 pending, 0 assigned"
2640.0,BUS_ROUTE_COMPLETED,"BUS_3_T2 completed route, served 0 passengers"
2640,OPTIMIZER_CALL,"Optimizer: 0 pending, 0 assigned"
2670,OPTIMIZER_CALL,"Optimizer: 0 pending, 0 assigned"
2700,OPTIMIZER_CALL,"Optimizer: 0 pending, 0 assigned"
2730,OPTIMIZER_CALL,"Optimizer: 0 pending, 0 assigned"
2760,OPTIMIZER_CALL,"Optimizer: 0 pending, 0 assigned"
2790,OPTIMIZER_CALL,"Optimizer: 0 pending, 0 assigned"
2820,OPTIMIZER_CALL,"Optimizer: 0 pending, 0 assigned"
2850,OPTIMIZER_CALL,"Optimizer: 0 pending, 0 assigned"
2880,OPTIMIZER_CALL,"Optimizer: 0 pending, 0 assigned"
2910,OPTIMIZER_CALL,"Optimizer: 0 pending, 0 assigned"
2940,OPTIMIZER_CALL,"Optimizer: 0 pending, 0 assigned"
2970,OPTIMIZER_CALL,"Optimizer: 0 pending, 0 assigned"
3000,OPTIMIZER_CALL,"Optimizer: 0 pending, 0 assigned"
3030,OPTIMIZER_CALL,"Optimizer: 0 pending, 0 assigned"
3060,OPTIMIZER_CALL,"Optimizer: 0 pending, 0 assigned"
3090,OPTIMIZER_CALL,"Optimizer: 0 pending, 0 assigned"
3120,OPTIMIZER_CALL,"Optimizer: 0 pending, 0 assigned"
3150,OPTIMIZER_CALL,"Optimizer: 0 pending, 0 assigned"
3180,OPTIMIZER_CALL,"Optimizer: 0 pending, 0 assigned"
3210,OPTIMIZER_CALL,"Optimizer: 0 pending, 0 assigned"
3240,OPTIMIZER_CALL,"Optimizer: 0 pending, 0 assigned"
3270,OPTIMIZER_CALL,"Optimizer: 0 pending, 0 assigned"
3300.0,BUS_ROUTE_COMPLETED,"BUS_1_T3 completed route, served 0 passengers"
3300,OPTIMIZER_CALL,"Optimizer: 0 pending, 0 assigned"
3330,OPTIMIZER_CALL,"Optimizer: 0 pending, 0 assigned"
3360,OPTIMIZER_CALL,"Optimizer: 0 pending, 0 assigned"
3390,OPTIMIZER_CALL,"Optimizer: 0 pending, 0 assigned"
3420,OPTIMIZER_CALL,"Optimizer: 0 pending, 0 assigned"
3450,OPTIMIZER_CALL,"Optimizer: 0 pending, 0 assigned"
3480,OPTIMIZER_CALL,"Optimizer: 0 pending, 0 assigned"
3510,OPTIMIZER_CALL,"Optimizer: 0 pending, 0 assigned"
3540,OPTIMIZER_CALL,"Optimizer: 0 pending, 0 assigned"
3570,OPTIMIZER_CALL,"Optimizer: 0 pending, 0 assigned"
3600.0,BUS_ROUTE_COMPLETED,"BUS_2_T3 completed route, served 0 passengers"
3600.0,SIMULATION_END,"Simulation completed: 7 arrived, 0 abandoned out of 7 total passengers"
