vehicle_id,type,total_passengers,avg_occupancy,max_occupancy,occupancy_rate,total_boardings,total_alightings,stations_served,idle_time,service_time
BUS_6_DIR5_T66486.0,Bus,0,0.0,0,0.0,0,0,11,21540.0,0.0
BUS_6_DIR5_T66494.0,Bus,0,0.0,0,0.0,0,0,9,21540.0,0.0
BUS_8_DIR1_T68085.0,Bus,10,0.10167130919220056,7,0.001270891364902507,10,10,8,20674.0,866.0
BUS_8_DIR1_T68087.0,Bus,7,0.0728644382544104,5,0.00091080547818013,7,7,7,20865.0,675.0
BUS_8_DIR1_T68089.0,Bus,6,0.08811513463324049,6,0.0011014391829155062,6,6,5,21180.0,360.0
BUS_8_DIR1_T68093.0,Bus,6,0.06492571959145775,3,0.0008115714948932219,6,6,6,20915.0,625.0
BUS_8_DIR1_T68095.0,Bus,12,0.18368152274837513,8,0.002296019034354689,12,12,8,20751.0,789.0
BUS_8_DIR1_T68097.0,Bus,14,0.24607706592386258,8,0.0030759633240482823,14,14,8,20718.0,822.0
BUS_8_DIR1_T68099.0,Bus,11,0.18565459610027854,8,0.0023206824512534818,11,11,6,20672.0,868.0
BUS_8_DIR1_T68101.0,Bus,11,0.16947539461467037,7,0.0021184424326833795,11,11,8,20737.0,803.0
BUS_8_DIR1_T68103.0,Bus,17,0.30385329619312906,10,0.003798166202414113,17,17,8,20632.0,908.0
BUS_8_DIR1_T68105.0,Bus,4,0.05584958217270195,3,0.0006981197771587744,4,4,8,20766.0,774.0
BUS_8_DIR1_T68107.0,Bus,14,0.20659238625812443,9,0.0025824048282265554,14,14,7,20731.0,809.0
BUS_8_DIR1_T68109.0,Bus,4,0.050255338904363976,3,0.0006281917363045497,4,4,4,20951.0,589.0
BUS_8_DIR1_T68111.0,Bus,14,0.19175951717734446,9,0.0023969939647168056,14,14,5,20840.0,700.0
BUS_8_DIR1_T68113.0,Bus,9,0.17367688022284122,9,0.002170961002785515,9,9,5,21102.0,438.0
BUS_8_DIR1_T68115.0,Bus,8,0.13098885793871867,4,0.0016373607242339834,8,8,6,20790.0,750.0
BUS_8_DIR1_T68117.0,Bus,3,0.028992571959145775,2,0.0003624071494893222,3,3,6,21016.0,524.0
BUS_8_DIR1_T68119.0,Bus,5,0.051392757660167133,4,0.0006424094707520891,5,5,4,21048.0,492.0
BUS_8_DIR1_T68121.0,Bus,1,0.01532033426183844,1,0.0001915041782729805,1,1,5,21210.0,330.0
BUS_8_DIR1_T68123.0,Bus,0,0.0,0,0.0,0,0,4,21540.0,0.0
BUS_8_DIR4_T68084.0,Bus,10,0.13050139275766018,6,0.0016312674094707523,10,10,4,20934.0,606.0
BUS_8_DIR4_T68086.0,Bus,7,0.0931058495821727,5,0.0011638231197771587,7,7,6,20974.0,566.0
BUS_8_DIR4_T68088.0,Bus,10,0.1430594243268338,6,0.0017882428040854226,10,10,6,20849.0,691.0
BUS_8_DIR4_T68090.0,Bus,8,0.06536675951717734,8,0.0008170844939647167,8,8,6,21368.0,172.0
BUS_8_DIR4_T68092.0,Bus,6,0.08539925719591458,5,0.0010674907149489322,6,6,6,20891.0,649.0
BUS_8_DIR4_T68094.0,Bus,0,0.0,0,0.0,0,0,7,21540.0,0.0
BUS_8_DIR4_T68096.0,Bus,11,0.12177344475394615,9,0.001522168059424327,11,11,8,20926.0,614.0
BUS_8_DIR4_T68098.0,Bus,8,0.09303621169916435,6,0.0011629526462395544,8,8,8,20861.0,679.0
BUS_8_DIR4_T68100.0,Bus,12,0.13827762302692664,10,0.001728470287836583,12,12,7,20862.0,678.0
BUS_8_DIR4_T68102.0,Bus,15,0.15020891364902508,12,0.0018776114206128136,15,15,7,20844.0,696.0
BUS_8_DIR4_T68104.0,Bus,15,0.2165041782729805,11,0.002706302228412256,15,15,6,20664.0,876.0
BUS_8_DIR4_T68106.0,Bus,9,0.09433611884865367,8,0.0011792014856081708,9,9,7,20930.0,610.0
BUS_8_DIR4_T68108.0,Bus,13,0.1611188486536676,10,0.002013985608170845,13,13,6,20766.0,774.0
BUS_8_DIR4_T68110.0,Bus,12,0.15088207985143917,10,0.0018860259981429896,12,12,7,20970.0,570.0
BUS_8_DIR4_T68112.0,Bus,5,0.07116991643454039,3,0.0008896239554317548,5,5,6,20913.0,627.0
BUS_8_DIR4_T68114.0,Bus,20,0.23233519034354688,16,0.002904189879294336,20,20,6,20845.0,695.0
BUS_8_DIR4_T68116.0,Bus,6,0.10598885793871866,3,0.0013248607242339833,6,6,6,20768.0,772.0
BUS_8_DIR4_T68120.0,Bus,13,0.14928040854224697,13,0.0018660051067780872,13,13,6,21223.0,317.0
BUS_8_DIR4_T68122.0,Bus,1,0.012418755803156918,1,0.00015523444753946146,1,1,8,21275.0,265.0
BUS_8_DIR4_T68124.0,Bus,0,0.0,0,0.0,0,0,7,21540.0,0.0
BUS_8_DIR4_T68126.0,Bus,0,0.0,0,0.0,0,0,3,21540.0,0.0
